seq,booth_name,booth_number,booth_type,booth_tags,booth_url,booth_id,target_gm
1,新作ゲーム展示,特設01,特設,,https://gamemarket.jp/booth/5139,5139,2026a
2,ゲームマーケット・チャレンジ,特設02,特設,,https://gamemarket.jp/booth/4822,4822,2026a
3,ゲーム制作者支援コーナー,特設03,特設,,https://gamemarket.jp/booth/6397,6397,2026a
4,マーダーミステリーブース,特設04,特設,,https://gamemarket.jp/booth/5137,5137,2026a
5,ドラマチック謎解きゲーム,特設05,特設,,https://gamemarket.jp/booth/1367,1367,2026a
6,ビッグゲームパーク,特設06,特設,,https://gamemarket.jp/booth/5371,5371,2026a
7,本当に面白いユーロゲームの世界,特設07,特設,,https://gamemarket.jp/booth/4821,4821,2026a
8,ゲームマーケットスペシャルステージ,特設08,特設,,https://gamemarket.jp/booth/5140,5140,2026a
9,TRPGギルド,特設09,特設,,https://gamemarket.jp/booth/4401,4401,2026a
10,こどもゲームコーナー,特設10,特設,,https://gamemarket.jp/booth/6739,6739,2026a
11,BOOTH,特設11,特設,,https://gamemarket.jp/booth/6740,6740,2026a
12,周遊型イマーシブ,特設12,特設,,https://gamemarket.jp/booth/7097,7097,2026a
13,伝統ゲーム（日曜限定）,特設13,特設,,https://gamemarket.jp/booth/5721,5721,2026a
14,カンファレンスエリア（日曜限定）,特設14,特設,,https://gamemarket.jp/booth/7099,7099,2026a
15,BitSummit（日曜限定）,特設15,特設,,https://gamemarket.jp/booth/7100,7100,2026a
16,ゲームメーカーズ（日曜限定）,特設16,特設,,https://gamemarket.jp/booth/7101,7101,2026a
17,これはゲームなのか？展3.3（日曜限定）,特設17,特設,,https://gamemarket.jp/booth/7098,7098,2026a
18,GEOGAMES,エリア - 01,エリア,,https://gamemarket.jp/booth/3867,3867,2026a
19,株式会社メガハウス,エリア - 02,エリア,,https://gamemarket.jp/booth/4828,4828,2026a
20,リゴレ,エリア - 03,エリア,,https://gamemarket.jp/booth/2822,2822,2026a
21,シエラゲームズ,エリア - 04,エリア,,https://gamemarket.jp/booth/2702,2702,2026a
22,ポケモンボドゲくらぶ,エリア - 05,エリア,,https://gamemarket.jp/booth/6690,6690,2026a
23,ブックオフ(BOOKOFF),エリア - 06,エリア,,https://gamemarket.jp/booth/4224,4224,2026a
24,トキキル,エリア - 07,エリア,,https://gamemarket.jp/booth/5145,5145,2026a
25,（株）ナナトリー/Mob+,エリア - 08,エリア,,https://gamemarket.jp/booth/2516,2516,2026a
26,ジーピー,エリア - 09,エリア,,https://gamemarket.jp/booth/1017,1017,2026a
27,イエローサブマリン,エリア - 10,エリア,,https://gamemarket.jp/booth/1004,1004,2026a
28,14games,エリア - 11,エリア,,https://gamemarket.jp/booth/4537,4537,2026a
29,スタジオムンディ,エリア - 12,エリア,,https://gamemarket.jp/booth/3086,3086,2026a
30,スピカデザイン&遭遇設計,エリア - 13,エリア,,https://gamemarket.jp/booth/5714,5714,2026a
31,ビジネススキル育成Project,エリア - 14,エリア,,https://gamemarket.jp/booth/5146,5146,2026a
32,イブインク（Ibuink）,エリア - 15,エリア,,https://gamemarket.jp/booth/5398,5398,2026a
33,Sui Works,エリア - 16,エリア,,https://gamemarket.jp/booth/4768,4768,2026a
34,LIQUOR GAMERS CLUB｜サントリー,エリア - 17,エリア,,https://gamemarket.jp/booth/4829,4829,2026a
35,Smart Ape Games,エリア - 18,エリア,,https://gamemarket.jp/booth/4193,4193,2026a
36,KUMAGERA,エリア - 19,エリア,,https://gamemarket.jp/booth/6741,6741,2026a
37,ヨフカシプロジェクト,エリア - 20,エリア,,https://gamemarket.jp/booth/4073,4073,2026a
38,ESPER GAME STUDIO,エリア - 21,エリア,,https://gamemarket.jp/booth/6538,6538,2026a
39,ジャイアントホビー,エリア - 22,エリア,,https://gamemarket.jp/booth/1032,1032,2026a
