seq,booth_name,booth_number,booth_type,booth_url,booth_id,booth_status,booth_overview,game_list_url,game_list_status,games_count
1,新作ゲーム展示コーナー,特設01,特設,https://gamemarket.jp/booth/5139,5139,ok,"おかげさまで拡大を続けているゲームマーケットですが、同時に「会場が広くなりすぎて、回りきれない」「どんな新作があるか、把握しきれない」といったご意見も多く耳にするようになりました。
そうした事態のひとつの解決策になればと、本コーナーを用意させていただきました。ここでは出展者のみなさまより任意でご提供いただいた、今回のゲームマーケット新作を展示し、来場者のみなさまが一度に確認できるようにしてあります。
来場者のみなさまは、ここにあるゲームを自由に手に取って、中身などをご確認いただくことができます。出展ブースさんの前で、購入せずに作品を確認するのは、購入されるお客様の邪魔にもなりますし、遠慮される向きもあるでしょう。また残念ながら品切れにより購入できなかった新作も、ここにあればご確認いただくことができます。
まずここに来て新作を確認してから会場を歩くか、会場をひと通り歩いたのち、見落としがないかここを確認しに来るか。自分のペースに合わせてご利用ください。",https://gamemarket.jp/booth/game/5139,ok,0
2,ゲームマーケット・チャレンジ,特設02,特設,https://gamemarket.jp/booth/4822,4822,ok,"ゲームマーケット・チャレンジ（通称：ゲムチャレ）とは、「ゲームマーケット事務局が定期的に出す『お題』に沿ってゲームをつくり、ゲムマに出展してみよう！」という企画です。
本ブースでは今期のお題に沿った参加作品を展示させていただいております。
展示作品にはふせんが貼ってあり、新作ゲーム展示コーナーと同様に販売団体名とブース番号が書かれています。 直接作品を触って、じっくり中身を見ることができるので、ズラッと並んだ作品群を見比べて気になる作品を見つけたら、ぜひそのブースに立ち寄ってみてください！
ゲムチャレは毎回30 ～ 50作品ほどが展示されており、まだまだ始まったばかりの企画ですがシンプルながらアイデアや工夫がキラリと光る作品も現れています。
興味を持たれた方は、ぜひお越しください！",https://gamemarket.jp/booth/game/4822,ok,0
3,ゲーム制作者支援コーナー,特設03,特設,https://gamemarket.jp/booth/6397,6397,ok,"ゲームを作ってみたいと思ったら、まずこのブースにお越しください！
ここは「はじめてボードゲームを作りたい」と考えているあなたのための案内所。
ゲーム制作の第一歩を踏み出すための情報をご提供します。企画の立て方から、イラスト・グラフィック、印刷…
あなたの夢をカタチにするためのヒントがここにあります！！
・ボードゲーム制作のヒントをパネルでご紹介！
・会場をフル活用！ゲーム制作お役立ちブースをご案内
・YouTubeなどゲムマから出ているお役立ち情報もご紹介！
ゲームマーケットがあなたの創作活動をサポートします！",https://gamemarket.jp/booth/game/6397,ok,0
4,マーダーミステリーブース,特設04,特設,https://gamemarket.jp/booth/5137,5137,ok,"この度、『StudioOZON』様と共同でマーダーミステリー専門の特設ブースが展示ホール4に登場！！
こちらのブースではマーダーミステリーの宣伝や説明・販売を行います。
既にマーダーミステリーを楽しんでいる人はもちろんのこと、まだマーダーミステリーをやったことが無いという人にとって、マーダーミステリーを始めるきっかけになれば幸いです。
※作品情報は順次更新される場合がございます。
作品一覧はこちらから！！",https://gamemarket.jp/booth/game/5137,ok,30
5,ドラマチック謎解きゲーム,特設05,特設,https://gamemarket.jp/booth/1367,1367,ok,"ゲームマーケット×ドラマチック謎解きゲーム
このコマ、知りませんか？
ゲームマーケット会場内を回って遊ぶ、周遊型謎解きゲームです。
受付で冊子を受け取り会場内で情報を得たりチェックポイントで追加情報を受け取ったりしながら、物語のエンディングまで辿りつくアナログゲームになります。
＜ストーリー＞
このコマ、知りませんか？
おそらく何かのボードゲームで使われていたコマだと思います。
コマについて何かご存知の方がいらっしゃいました、どうか教えていただけないでしょうか。
また、一緒に調べてくれる方も探しています。
＜ドラマチック謎解きゲームとは＞
参加者が物語の主人公となり、実際に頭や体を動かしてリアルに散りばめられた謎やパズルを解いていく、体感型のゲームです。 実際に「見て」「動いて」「探して」物語の世界に入り込み、謎を解くことで物語が展開します。 特に、よだかのレコードが作るドラマチック謎解きゲームでは、「物語」を重視した構成と謎で、よりドラマチックな非日常の体験ができます。
よだかのレコードでは新作持ち帰り謎の発売もあります。",https://gamemarket.jp/booth/game/1367,ok,23
6,ビッグゲームパーク,特設06,特設,https://gamemarket.jp/booth/5371,5371,ok,"あのゲーム！ このゲームの！？ 巨大版であそべる！！
いつもは机の上で遊ぶボードゲームが巨大化！？
ビッグな楽しさを全身で体験できるコーナーです。
開催日時
2026年10月17日（土） 11:00-17:30
2026年10月18日（日） 11:00-16:30
開催場所
展示ホール2 特設エリア",https://gamemarket.jp/booth/game/5371,ok,0
7,本当に面白いユーロゲームの世界,特設07,特設,https://gamemarket.jp/booth/4821,4821,ok,"大好評の試遊ブースがゲームマーケット2026秋でも登場！
名作から新作まで、選りすぐりの人気ゲームが楽しめます！
海外の人気定番ボードゲームを遊んでみよう！
ボードゲーム界のアカデミー賞といわれる「ドイツ年間ゲーム大賞」の受賞作を中心に人気の海外ボードゲームを実際に遊ぶことができます。
今回も人気メーカー各社にご協賛いただき、プレイできるゲームが質、量ともにパワーアップしました！
初めてでも安心！ お子さまが遊べるゲームも揃ってます！
簡単ルールで楽しめる面白いゲームをたくさんご用意してお待ちしております。
お子様連れのご家族でも、スタッフがルールを丁寧に説明いたしますので、初めての方でもお気軽にお遊びいただけます。
今回も数量限定「ユーロゲームがわかる小冊子」を配布予定！
雑誌『本当に面白いボードゲームの世界』(太田出版)編集部監修のユーロゲームとは何かが分かる小冊子を配布します。
冊子に掲載されている世界の人気ゲームを実際にプレイして、識者のレビューに書かれた面白さや魅力を体験できます。
面白いゲームを探している方も、ぜひお立ち寄りください！
『本当に面白いボードゲームの世界』編集長の河上 や、各メーカーの担当者等、ボードゲームに詳しいメンバーがスタッフとして参加していますので「このジャンルの面白いゲームを探していて～」等の相談にも（手が空いていれば）対応できます！
その他
開催位置
全体マップはこちらから
🎫 入場にはチケットが必要です（好評販売中）
・土曜 早期11時入場 3,000円【先着2,900枚／ぴあ限定】
・土曜 12時入場 1,500円
・日曜 11時入場 1,500円
※当日現金は各日2,000円。事前購入がお得です。
※土曜12時以降・日曜11時以降は、高校生以下は学生証提示で
入場無料
、小学生以下は保護者同伴で
入場無料
となります。（※土曜11時早期入場の時間帯は高校生以下・小学生以下もチケットが必要です。未就学児は全時間帯保護者同伴で無料です）
▼チケットぴあ
https://w.pia.jp/t/gamemarket/
▼イープラス
https://eplus.jp/gamemarket/
皆様のご来場を心よりお待ちしております。
ゲームマーケットとは
開催概要＆アクセス
ブース＆ホールMAP
ブログ一覧
ゲーム一覧
ブース一覧
出展申し込み
お問い合わせ
公式Twitter
来場者向けFAQ
運営会社
利用規約
個人情報保護方針
開催データ
GameMarket",https://gamemarket.jp/booth/game/4821,ok,0
8,ゲームマーケットスペシャルステージ,特設08,特設,https://gamemarket.jp/booth/5140,5140,ok,"ゲームマーケット2026秋に特設ステージが登場！！
今回のゲームマーケットスペシャルステージでは、豪華ゲストをお迎えした全6つのプログラムをお届けいたします！
デジタルゲーム開発者とのコラボや文化庁助成事業（J-TAN）の解説、権利問題・著作権ガイドラインの最前線、デジタル技術と融合する「遊び」の未来像に迫るトークセッションに加え、観客参加型のステージや恒例のTRPG落語まで、多様な切り口でアナログゲームの今と未来を深掘りします。
ご来場の際は、ぜひ
展示ホール5
の特設ステージにお立ち寄りください！
ステージ一覧
『ボードゲームと著作権に関するガイドライン』
10/17（土）13:00 ～ 14:00
ボードゲームの開発、ローンチにあたって、あるいは遊んでみた動画を作ったり、イベントをしたりするときに著作権に関するガイドラインについて考えたことがありますか？
どうやって自分のゲームに関するガイドラインを作ったらいいかわからない、あるいは「ガイドライン」って聞いたことがあるけれど見たことはない、という方もいらっしゃるかもしれません。
開発者とユーザーを繋ぐガイドラインの役割について、実際のガイドラインを読み解きながら、多様なガイドラインの役割や在り方についてゲストを招いてお話をします。
［出演］
湯口 太郎（CODA）、海苔太郎（ニトロプラス）
［共催］
一般社団法人コンテンツ海外流通促進機構（CODA）
『CEDEC×ゲームマーケット デジタルゲーム開発者から見たボードゲームとは？』
10/17（土）14:45 ～ 15:45
国内最大のデジタルゲーム開発者会議「CEDEC」（Computer Entertainment Developers Conference）とのコラボ企画！ボードゲームにゆかりのあるデジタルゲーム開発者が集まり、ボドゲとデジゲの共通点やそれらの深い関係について語り合うトークセッションです。
［出演］
知久 温（CEDEC2026運営委員 ビデオゲームデザイナー）、岩倉 宏介（CEDEC2026運営委員）、山岸 和記（株式会社スタジオサザンカ ビデオゲームデザイナー）、上杉 真人（ボードゲームデザイナー）
『ボードゲームに関わる疑問を解決！ゲムマ座談会7 ～文化庁「クリエイター支援基金」採択を受けたJ-TANとは～』
10/17（土）16:30 ～ 17:30
日本のアナログゲームを世界へ！文化庁の助成を受けた次世代クリエイター支援事業「J-TAN」が始動します。業界を牽引する3社が、海外展開や実践的な育成（OJT）をどう伴走支援するのか？世界市場で戦うための具体的なプログラム内容をステージで詳しく解説します。ぜひご観覧ください。
［出演］
白坂 翔（ピチカートデザイン 代表取締役）、田中 滋（ホビーベース イエローサブマリン 代表取締役 ）、青柳 昌行（アークライト 代表取締役）
『TRPG落語「アイテム屋（仮）」（根多卸し）他』
10/18（日）12:30 ～ 13:30
TPRG落語とは、今年4月に真打に昇進した二代目三遊亭小圓楽師匠が創案した、TRPG（テーブルトーク・ロールプレイングゲーム）をテーマとした落語。
「ドラゴンほめ」「インスマス長屋」「積みゲー幽霊」インタラクティヴ死神」「初ダンジョン」「モンスター根問」「ソドワ算」などさまざまな演目があり、2023年には『三遊亭小圓楽のTRPG落語』（グループSNE／新紀元社）としても書籍化されています。
［出演］
三遊亭小圓楽
『TRPGでホラーを語れるのか？』
10/18（日）14:00 ～ 15:00
『インセイン』の河嶋陶一朗と『クトゥルフ神話TRPG』の内山靖二郎が、ホラーとTRPGについてざっくばらんに語ります。観客の皆さまには「Yes／No」で答える質問を投げかけ、その反応を見ながらトークを展開。皆さまの参加で話の行方が変わるトークショーです。ぜひあなたのご意見もお聞かせください！
［出演］
河嶋 陶一朗（冒険企画局）、内山 靖二郎（アーカムメンバーズ）
『もっと広がる、アナログゲームの「遊び」のカタチ』
10/18（日）15:30 ～ 16:30
アナログとデジタルの融合はどんな新しい可能性を生むのか？制作者・配信者など多様な視点から、実際の体験談や工夫を交えて双方の親和性を紐解き、これからの「遊び」の未来と広がりについて語り合います。
［出演］
1-1（司会/StudioOZON）、白坂 翔（ピチカートデザイン代表）、鳥頭めう（ココフォリア開発チーム）、まだら牛（配信者／ゲームクリエイター）、テラゾー（配信者／ゲームクリエイター）、平石 英太郎（Sally代表）",https://gamemarket.jp/booth/game/5140,ok,0
9,TRPGギルド,特設09,特設,https://gamemarket.jp/booth/4401,4401,ok,"■ TRPGギルドとは？
誰でも手軽に「物語の主人公」になれるTRPG（テーブルトーク・ロールプレイングゲーム）が楽しめる「TRPGギルド」へようこそ！
作者と直接遊べる試遊や新体験など、ここでしか味わえない冒険があなたを待っています。初めての方も、ぜひお気軽にお越しください！
体験できるゲームは、下記の団体がご提供いたします。
有限会社F.E.A.R.
● 団体紹介
1993年の創業以来、ＴＲＰＧを制作してきた会社です。今回は、試遊卓に加え、新作ＴＲＰＧ『格闘令嬢RPG ノーブルバウト』の物販も行ないます。
▼ 当日遊べる試遊タイトル
・『ブレイド・オブ・アルカナ ―聖痕英雄譚ＲＰＧ―』キャラクター作成体験
・『格闘令嬢RPG ノーブルバウト』キャラクター作成＆戦闘体験
▼ 試遊予約方法
当日受付
ドラゴンブック編集部（KADOKAWA）
● 団体紹介
株式会社KADOKAWAのTRPG専門レーベル。『ソード・ワールド2.5』『ダブルクロスThe 3rd Edition』シリーズをはじめ、『HacKClaD TRPG』『ELDEN RING NIGHTREIGN TRPG』など人気作品のTRPG化も行っています。
▼ 当日遊べる試遊タイトル
・ソード・ワールド2.5
・ELDEN RING NIGHTREIGN TRPG
・TRPG ARMORED CORE VI FIRES OF RUBICON
▼ 試遊予約方法
当日受付、整理券配布
アーカム・メンバーズ／スタジオ・アーカム
● 団体紹介
“クトゥルフ神話TRPG”シリーズ日本語版の企画・執筆を行なっているアーカム・メンバーズ／スタジオ・アーカムのコーナーです。当日参加可能な体験会を開催。ぜひお立ち寄りください。（※協賛：KADOKAWA）
▼ 当日遊べる試遊タイトル
・“新クトゥルフ神話TRPG”
▼ イベント・企画実施
邪神総選挙
▼ 試遊予約方法
当日受付、整理券配布
CCFOLIA
● 団体紹介
オンラインセッションツール「CCFOLIA」を開発・運営しています。CCFOLIA BOOKSで販売中の大人気作品「TEA TIME RPG」の試遊をしてますので、お気軽にご参加ください！
▼ 当日遊べる試遊タイトル
大人気作品『祠こわしちゃったの？』または最新作『マオウ城へようこそ！』のどちらか好きな作品を1作品試遊いただけます！
▼ 試遊予約方法
当日受付
株式会社バーチャルパーティー
● 団体紹介
TRPG・マーダーミステリー・ボードゲームなどを題材に、VR空間で遊べるゲームの開発やイベントの企画・運営、関連商品の販売などを行う、アナログゲームの新しい遊び方をつくる会社です。
▼ 当日遊べる試遊タイトル
・次元リンクカードRPG XyberDraw
▼ イベント・企画実施
カードゲーム×TRPGの新境地！制作中のオリジナルTRPG「次元リンクカードRPG XyberDraw」（企画：バーチャルパーティー／ルールデザイン：平野累次・冒険企画局）の試遊が可能です。※発売前のタイトルにつき製品化の際仕様が異なる場合があります。
▼ 試遊予約方法
当日整理券配布
HJ-TRPG（ホビージャパン）
● 団体紹介
HJ-TRPGは、国内外の魅力的なTRPGを日本語でお届けするホビージャパンのTRPGブランドです。多彩な世界と冒険をお届けします。
▼ 当日遊べる試遊タイトル
・サイバーパンクRED
・FINAL FANTASY XIV TTRPG
▼ 試遊予約方法
当日、TRPGギルドのHJ-TRPGブースにて整理券を配布いたします。
冒険企画局
● 団体紹介
冒険企画局は、テーブルトークRPGを中心に、書籍や様々なゲームの企画・制作を手がけるクリエイター集団です。誰もが物語の登場人物となり、テーブルを囲む仲間たちと驚きや笑いを分かち合える、個性豊かな遊びをお届けしています。
▼ 当日遊べる試遊タイトル
・忍術バトルRPG シノビガミ
・マルチジャンル・ホラーRPG インセイン
・HacKClaD TRPG
・ネジクレネジマキ 鉄錆の荒野を渡るTRPG（土曜のみ）
・夜のあしあと（日曜のみ）
▼ 試遊予約方法
当日受付、整理券配布
アークライト出版部
● 団体紹介
アークライト出版部は、『Role&Roll』をはじめ、さまざまなTRPG関連書籍を企画・制作しています。国内外の魅力的な作品を通じて、TRPGの楽しさをより多くの人へ届けるべく活動しています。
▼ 当日遊べる試遊タイトル
・忍術バトルRPG シノビガミ
・東京ラヴクラフト
・ケダモノオペラ
・怪異捜査RPG ツクモツムギ
などを予定
▼ 試遊予約方法
当日受付、整理券配布",https://gamemarket.jp/booth/game/4401,ok,0
10,こどもゲームコーナー,特設10,特設,https://gamemarket.jp/booth/6739,6739,ok,"東京おもちゃ美術館セレクトのグッドボードゲームで遊ぼう！
東京おもちゃ美術館で活動しているおもちゃ学芸員やおもちゃコンサルタントが、キッズゲームを中心に子どもにも分かりやすく遊び方を伝えます。
当日、遊びに来てくれた方には特製ステッカー兼東京おもちゃ美術館子ども招待券を配布します。（無くなり次第終了）
開催日時
2026年10月17日（土）11:00～18:00
2026年10月18日（日）11:00～17:00
開催場所
展示ホール2 特設エリア",https://gamemarket.jp/booth/game/6739,ok,0
