booth_seq,booth_name,booth_number,booth_type,booth_url,booth_id,game_index_in_booth,game_title,game_description,game_price,game_player,game_play_time,game_target_age,game_tags,game_publisher,game_url,game_source_section
4,マーダーミステリーブース,特設04,特設,https://gamemarket.jp/booth/5137,5137,1,[未定],未定,¥0,-,-,0歳〜,,マーダーミステリーブース,https://gamemarket.jp/game/189206,新着ゲーム
4,マーダーミステリーブース,特設04,特設,https://gamemarket.jp/booth/5137,5137,2,[そして誰もいなくなる？],瀬戸内海に浮かぶ島を舞台に、力を合わせて3つの死体の謎を追え！,"¥2,700",1-4,120-120,0歳〜,,マーダーミステリーブース,https://gamemarket.jp/game/189205,新着ゲーム
4,マーダーミステリーブース,特設04,特設,https://gamemarket.jp/booth/5137,5137,3,[そういうお前はどうなんだ？狂気病棟編],「そういうお前はどうなんだ？」＋「狂気度システム」！？ 孤島の隔離病棟で繰り広げられる冤罪押し付け合いゲーム,"¥2,200",3-6,20-20,0歳〜,,マーダーミステリーブース,https://gamemarket.jp/game/189204,新着ゲーム
4,マーダーミステリーブース,特設04,特設,https://gamemarket.jp/booth/5137,5137,4,[永遠に眠る男],韓国の財閥ドラマさながらの華麗なる一族とその家中の人々の愛憎渦巻くコリアンミステリー,¥0,5,60-60,2700歳〜,,マーダーミステリーブース,https://gamemarket.jp/game/189203,新着ゲーム
4,マーダーミステリーブース,特設04,特設,https://gamemarket.jp/booth/5137,5137,5,[引っ越しバイト],マーダーミステリーミニシリーズ新作は、秋口ぎぐるによるシチュエーションコメディ⁉,"¥2,700",3-4,60-60,0歳〜,,マーダーミステリーブース,https://gamemarket.jp/game/189202,新着ゲーム
4,マーダーミステリーブース,特設04,特設,https://gamemarket.jp/booth/5137,5137,6,[崇高なる労働をいただきありがとうございます],「崇高なる単純作業Aと崇高なる単純作業Bという2つもの人生の選択肢を与えていただきありがとうございます。」,"¥4,000",6,200-200,0歳〜,,マーダーミステリーブース,https://gamemarket.jp/game/189201,新着ゲーム
4,マーダーミステリーブース,特設04,特設,https://gamemarket.jp/booth/5137,5137,7,[卓上探偵団DEKA集え、探偵諸君！],グループSNE人気協力推理ゲーム短編集の第4弾が登場！ 5人の探偵と6つの事件の物語,"¥3,200",1-4,20-190,0歳〜,,マーダーミステリーブース,https://gamemarket.jp/game/189200,ゲーム一覧
4,マーダーミステリーブース,特設04,特設,https://gamemarket.jp/booth/5137,5137,8,[幸せの唄],ストーリープレイング「TINY TALK AND TALES」シリーズ第2弾,"¥2,700",5,100-100,0歳〜,,マーダーミステリーブース,https://gamemarket.jp/game/189199,ゲーム一覧
4,マーダーミステリーブース,特設04,特設,https://gamemarket.jp/booth/5137,5137,9,[マジックアワーの残響],「Story Playing in the Box Series」始動,"¥4,500",6,150-150,0歳〜,,マーダーミステリーブース,https://gamemarket.jp/game/189197,ゲーム一覧
4,マーダーミステリーブース,特設04,特設,https://gamemarket.jp/booth/5137,5137,10,[ザ・レッドラフター],本格ホラー×マーダーミステリー！ 恐怖の都市伝説,"¥4,000",6,200-200,0歳〜,,マーダーミステリーブース,https://gamemarket.jp/game/189196,ゲーム一覧
